Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
TITAN,61.15702479338842,38.84297520661157,46.794224488784984,INE280A01028,7.0,-22.314049586776854,1.0,8.0,1,2019-07-01
RECLTD,56.19834710743802,40.49586776859504,44.45617248931624,INE020B01018,11.0,-15.702479338842977,9.0,20.0,2,2019-07-01
AAVAS,54.54545454545454,44.62809917355372,67.53345226760945,INE216P01012,2.0,-9.917355371900818,20.0,22.0,3,2019-07-01
DCMSHRIRAM,54.54545454545454,44.62809917355372,53.615587799529685,INE499A01024,4.0,-9.917355371900818,21.0,25.0,4,2019-07-01
UPL,61.15702479338842,38.84297520661157,29.574882577521343,INE628A01036,23.0,-22.314049586776854,2.0,25.0,5,2019-07-01
HDFCAMC,57.02479338842975,42.97520661157025,29.41144300582259,INE127D01025,24.0,-14.049586776859499,11.0,35.0,6,2019-07-01
JKCEMENT,54.54545454545454,45.45454545454545,38.91649416793263,INE823G01014,13.0,-9.090909090909086,24.0,37.0,7,2019-07-01
GODREJPROP,53.71900826446281,46.28099173553719,48.523565564048575,INE484J01027,6.0,-7.4380165289256155,31.0,37.0,8,2019-07-01
TANLA,52.066115702479344,45.45454545454545,121.99731140148442,INE483C01032,1.0,-6.611570247933891,36.0,37.0,9,2019-07-01
SRF,53.71900826446281,46.28099173553719,57.458736663428624,INE647A01010,3.0,-7.4380165289256155,35.0,38.0,10,2019-07-01
PNCINFRA,57.02479338842975,42.97520661157025,28.848880402338906,INE195J01029,26.0,-14.049586776859499,12.0,38.0,11,2019-07-01
SHREECEM,60.33057851239669,39.66942148760331,24.22320812415577,INE070A01015,36.0,-20.661157024793383,3.0,39.0,12,2019-07-01
BATAINDIA,59.50413223140496,40.49586776859504,23.434664891456425,INE176A01028,38.0,-19.00826446280992,4.0,42.0,13,2019-07-01
BALRAMCHIN,58.67768595041323,40.49586776859504,22.654487325550043,INE119A01028,40.0,-18.181818181818187,5.0,45.0,14,2019-07-01
BAJAJFINSV,55.371900826446286,43.80165289256198,25.373813109053557,INE918I01026,31.0,-11.570247933884303,15.0,46.0,15,2019-07-01
PIIND,53.71900826446281,46.28099173553719,35.41586849626308,INE603J01030,15.0,-7.4380165289256155,33.0,48.0,16,2019-07-01
ASTRAZEN,52.892561983471076,47.107438016528924,50.784489407688646,INE203A01020,5.0,-5.785123966942152,44.0,49.0,17,2019-07-01
BAJFINANCE,52.892561983471076,46.28099173553719,32.934950524258475,INE296A01024,18.0,-6.611570247933884,38.0,56.0,18,2019-07-01
ICICIGI,56.19834710743802,42.97520661157025,21.292621698161398,INE765G01017,45.0,-13.223140495867767,13.0,58.0,19,2019-07-01
SIEMENS,54.54545454545454,45.45454545454545,22.52080618249297,INE003A01024,41.0,-9.090909090909086,25.0,66.0,20,2019-07-01
HDFCAMC,59.50413223140496,40.49586776859504,48.53232161120478,INE127D01025,3.0,-19.00826446280992,1.0,4.0,1,2019-08-01
ICICIGI,59.50413223140496,40.49586776859504,31.64613561318026,INE765G01017,12.0,-19.00826446280992,2.0,14.0,2,2019-08-01
BALRAMCHIN,58.67768595041323,40.49586776859504,24.989429176540767,INE119A01028,21.0,-18.181818181818187,4.0,25.0,3,2019-08-01
JKCEMENT,55.371900826446286,44.62809917355372,34.86359936110674,INE823G01014,9.0,-10.743801652892564,18.0,27.0,4,2019-08-01
PIIND,57.02479338842975,42.97520661157025,26.416340430551433,INE603J01030,18.0,-14.049586776859499,9.0,27.0,5,2019-08-01
REDINGTON,54.54545454545454,44.62809917355372,42.32095173111687,INE891D01026,5.0,-9.917355371900818,23.0,28.0,6,2019-08-01
SHREECEM,56.19834710743802,43.80165289256198,26.017511773038194,INE070A01015,19.0,-12.396694214876035,12.0,31.0,7,2019-08-01
ICICIPRULI,55.371900826446286,44.62809917355372,27.353206022935694,INE726G01019,16.0,-10.743801652892564,17.0,33.0,8,2019-08-01
AAVAS,52.892561983471076,46.28099173553719,62.97712019941266,INE216P01012,2.0,-6.611570247933884,33.0,35.0,9,2019-08-01
PNCINFRA,56.19834710743802,43.80165289256198,21.99561514990438,INE195J01029,26.0,-12.396694214876035,11.0,37.0,10,2019-08-01
ULTRACEMCO,56.19834710743802,43.80165289256198,22.17696890674137,INE481G01011,24.0,-12.396694214876035,13.0,37.0,11,2019-08-01
SBILIFE,57.02479338842975,42.97520661157025,20.938035912377174,INE123W01016,28.0,-14.049586776859499,10.0,38.0,12,2019-08-01
MUTHOOTFIN,53.71900826446281,45.45454545454545,27.81713050248802,INE414G01012,15.0,-8.264462809917354,28.0,43.0,13,2019-08-01
RECLTD,54.54545454545454,42.14876033057851,20.84728384919763,INE020B01018,29.0,-12.396694214876028,14.0,43.0,14,2019-08-01
BAJFINANCE,55.371900826446286,43.80165289256198,20.592335146123375,INE296A01024,31.0,-11.570247933884303,15.0,46.0,15,2019-08-01
GUJGASLTD,52.892561983471076,47.107438016528924,32.94161280408434,INE844O01030,11.0,-5.785123966942152,36.0,47.0,16,2019-08-01
RITES,52.066115702479344,45.45454545454545,27.240134013647378,INE320J01015,17.0,-6.611570247933891,32.0,49.0,17,2019-08-01
NAM-INDIA,49.586776859504134,46.28099173553719,74.77732374376018,INE298J01013,1.0,-3.305785123966942,54.0,55.0,18,2019-08-01
JUSTDIAL,52.066115702479344,47.93388429752066,34.81832765333501,INE599M01018,10.0,-4.132231404958681,48.0,58.0,19,2019-08-01
INDIGO,52.066115702479344,47.93388429752066,28.941195609132553,INE646L01027,14.0,-4.132231404958681,47.0,61.0,20,2019-08-01
