Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
ALOKINDS,66.27906976744185,33.72093023255814,272.83286653661577,,1.0,-32.558139534883715,1.0,2.0,1,2020-07-01
ADANIGREEN,61.47540983606557,38.52459016393443,98.40661652655042,,7.0,-22.950819672131146,2.0,9.0,2,2020-07-01
BAYERCROP,59.01639344262295,40.98360655737705,75.1135553695078,,14.0,-18.032786885245898,4.0,18.0,3,2020-07-01
ESCORTS,59.01639344262295,40.98360655737705,76.77430209713307,,13.0,-18.032786885245898,5.0,18.0,4,2020-07-01
JBCHEPHARM,59.83606557377049,38.52459016393443,69.75701315851579,,16.0,-21.311475409836063,3.0,19.0,5,2020-07-01
APLLTD,57.377049180327866,42.62295081967213,63.07660108486295,,17.0,-14.754098360655739,7.0,24.0,6,2020-07-01
COROMANDEL,57.377049180327866,40.98360655737705,54.401467992731156,,19.0,-16.393442622950815,6.0,25.0,7,2020-07-01
ALKYLAMINE,54.09836065573771,45.90163934426229,105.88585320415014,,4.0,-8.196721311475414,23.0,27.0,8,2020-07-01
LAURUSLABS,55.73770491803278,40.98360655737705,49.720895362008896,,22.0,-14.754098360655732,9.0,31.0,9,2020-07-01
DIXON,57.377049180327866,42.62295081967213,49.284384476514,,23.0,-14.754098360655739,8.0,31.0,10,2020-07-01
SUZLON,48.36065573770492,40.16393442622951,144.0620284754822,,2.0,-8.196721311475407,30.0,32.0,11,2020-07-01
DMART,55.73770491803278,44.26229508196721,46.98987888053458,,25.0,-11.475409836065573,15.0,40.0,12,2020-07-01
AUROPHARMA,53.278688524590166,46.72131147540984,83.77680445180107,,10.0,-6.5573770491803245,34.0,44.0,13,2020-07-01
MUTHOOTFIN,54.09836065573771,45.90163934426229,62.63220355089247,,18.0,-8.196721311475414,28.0,46.0,14,2020-07-01
ZYDUSLIFE,54.91803278688525,44.26229508196721,44.26112942488436,,28.0,-10.655737704918039,18.0,46.0,15,2020-07-01
BALKRISIND,55.73770491803278,44.26229508196721,31.69157223108927,,41.0,-11.475409836065573,14.0,55.0,16,2020-07-01
GLENMARK,55.73770491803278,44.26229508196721,31.729962814806466,,40.0,-11.475409836065573,16.0,56.0,17,2020-07-01
JINDALSTEL,56.557377049180324,42.62295081967213,25.133815778275405,,50.0,-13.934426229508198,10.0,60.0,18,2020-07-01
IDEA,45.0,42.5,101.3711633512774,,6.0,-2.5,57.0,63.0,19,2020-07-01
TORNTPHARM,54.09836065573771,45.90163934426229,32.82720804478576,,38.0,-8.196721311475414,29.0,67.0,20,2020-07-01
LAURUSLABS,59.01639344262295,37.704918032786885,127.01285945617448,,3.0,-21.311475409836063,3.0,6.0,1,2020-08-01
ALOKINDS,59.63302752293578,40.36697247706422,144.34244360591765,,2.0,-19.266055045871553,5.0,7.0,2,2020-08-01
ADANIGREEN,60.65573770491803,39.34426229508197,82.85061456533268,,10.0,-21.311475409836063,2.0,12.0,3,2020-08-01
RPOWER,55.73770491803278,40.16393442622951,86.92778953214156,,8.0,-15.573770491803273,8.0,16.0,4,2020-08-01
MUTHOOTFIN,55.73770491803278,44.26229508196721,88.34409339603314,,7.0,-11.475409836065573,17.0,24.0,5,2020-08-01
ALKYLAMINE,54.91803278688525,45.08196721311475,79.19023862251096,,11.0,-9.836065573770497,18.0,29.0,6,2020-08-01
