Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
HINDCOPPER,139.80546202768426,1.0,1.0,100.0,-8.196721311475414,576.9,54.09836065573771,45.90163934426229
NATIONALUM,78.98761835396941,2.0,1.0,100.0,-16.393442622950815,344.05,58.19672131147541,41.80327868852459
JKTYRE,76.29225405487341,3.0,1.0,100.0,-11.475409836065573,581.5,55.73770491803278,44.26229508196721
SHRIRAMFIN,74.75255557358432,4.0,1.0,100.0,-18.032786885245898,1077.0,59.01639344262295,40.98360655737705
IDEA,68.18851251840942,5.0,1.0,100.0,-4.098360655737707,11.42,51.63934426229508,47.540983606557376
ASHOKLEY,53.83921863260706,6.0,2.0,99.0,-14.754098360655739,204.76,57.377049180327866,42.62295081967213
NETWEB,51.610856194474295,7.0,2.0,99.0,-3.278688524590166,3105.9,51.63934426229508,48.36065573770492
VEDL,51.245791245791224,8.0,2.0,99.0,-22.950819672131146,673.8,61.47540983606557,38.52459016393443
BHARATFORG,50.021572180515996,9.0,2.0,99.0,-13.934426229508198,1738.6,56.557377049180324,42.62295081967213
MRPL,46.30636392708667,10.0,2.0,99.0,4.918032786885249,183.0,47.540983606557376,52.459016393442624
KARURVYSYA,45.32839962997226,11.0,3.0,98.0,-0.8196721311475414,314.2,50.0,49.18032786885246
KIRLOSENG,44.60049937578028,12.0,3.0,98.0,-4.098360655737707,1389.9,51.63934426229508,47.540983606557376
SBIN,43.68779781651484,13.0,3.0,98.0,-18.032786885245898,1191.1,59.01639344262295,40.98360655737705
FEDERALBNK,43.38290521255821,14.0,3.0,98.0,-9.836065573770497,286.35,54.91803278688525,45.08196721311475
BANKINDIA,40.10143557121979,15.0,3.0,98.0,-18.032786885245898,162.98,59.01639344262295,40.98360655737705
MCX,39.877188715953295,16.0,4.0,97.0,-9.836065573770497,2300.7,54.91803278688525,45.08196721311475
HINDZINC,37.05813953488373,17.0,4.0,97.0,-5.737704918032783,589.35,52.459016393442624,46.72131147540984
APLAPOLLO,37.0079223730271,18.0,4.0,97.0,-18.032786885245898,2230.9,59.01639344262295,40.98360655737705
M&MFIN,36.70720299345183,19.0,4.0,97.0,-15.573770491803273,365.35,57.377049180327866,41.80327868852459
GESHIP,36.37381655298788,20.0,4.0,97.0,-6.5573770491803245,1339.6,53.278688524590166,46.72131147540984
EICHERMOT,34.77894736842104,21.0,5.0,96.0,-8.196721311475414,8002.5,54.09836065573771,45.90163934426229
INDUSTOWER,34.77513606416498,22.0,5.0,96.0,-11.475409836065573,470.5,55.73770491803278,44.26229508196721
MOTHERSON,34.59222210880883,23.0,5.0,96.0,-5.737704918032783,131.86,52.459016393442624,46.72131147540984
LTF,34.46173740359302,24.0,5.0,96.0,-8.196721311475414,291.15,54.09836065573771,45.90163934426229
GMDCLTD,33.85329840438198,25.0,5.0,96.0,9.016393442622956,562.05,45.08196721311475,54.09836065573771
CHENNPETRO,32.997194631890196,26.0,6.0,95.0,4.918032786885242,877.05,46.72131147540984,51.63934426229508
