Date,Open,High,Low,Close,Volume
2016-02-26,216.6,217.9,214.6,215.95,8397546
2016-02-29,216.2,226.05,212.5,219.7,31211286
2016-03-01,219.25,223.9,219.25,223.0,16548062
2016-03-02,225.65,228.6,224.4,227.65,20221898
2016-03-03,229.55,231.4,226.7,230.2,15972026
2016-03-04,230.45,230.7,228.05,228.75,9039484
2016-03-08,229.0,234.3,229.0,233.4,13299238
2016-03-09,231.8,237.25,231.5,236.75,11923256
2016-03-10,236.8,237.7,229.3,229.95,20825746
2016-03-11,230.65,234.0,229.7,230.55,15407374
2016-03-14,231.65,233.25,230.25,231.75,11948596
2016-03-15,232.75,233.6,230.7,231.95,10548260
2016-03-16,232.05,233.15,228.5,232.2,11127926
2016-03-17,233.4,235.65,230.0,230.9,16930056
2016-03-18,231.4,234.15,230.85,233.45,14111882
2016-03-21,233.6,236.7,232.45,235.75,12781348
2016-03-22,235.7,239.15,235.4,238.15,15421854
2016-03-23,237.9,237.9,232.35,233.9,16903278
2016-03-28,234.1,234.5,230.85,231.9,18174434
2016-03-29,232.65,236.8,231.9,235.5,15962764
2016-03-30,237.0,239.05,237.0,238.0,14536632
2016-03-31,236.6,240.0,234.7,237.55,31011134
2016-04-01,236.15,237.8,232.95,235.1,12452506
2016-04-04,236.4,236.9,233.0,235.25,8682344
2016-04-05,234.4,236.9,232.35,233.4,10318652
2016-04-06,234.6,235.65,232.4,234.95,7031090
2016-04-07,235.2,238.2,232.3,235.75,8839842
2016-04-08,235.4,239.65,234.4,235.5,13489084
2016-04-11,235.7,237.65,234.75,236.4,10367800
2016-04-12,236.4,240.3,235.95,238.05,11229236
2016-04-13,239.25,243.15,239.25,242.25,16131020
2016-04-18,242.2,242.45,239.85,242.0,19175648
2016-04-20,243.0,243.0,235.4,235.75,21812986
2016-04-21,236.65,239.1,235.25,236.65,11446318
2016-04-22,236.1,238.05,233.9,236.1,11772578
2016-04-25,237.35,237.35,230.05,231.1,61510178
2016-04-26,230.75,232.7,229.0,231.1,26581628
2016-04-27,231.35,233.2,230.9,231.65,14586264
2016-04-28,230.45,231.65,225.25,226.55,62306230
2016-04-29,225.75,226.95,222.5,223.35,23615064
2016-05-02,222.5,225.55,222.25,224.3,10682114
2016-05-03,224.55,226.1,221.1,221.75,17673146
2016-05-04,221.4,223.6,221.1,222.3,13624394
2016-05-05,222.75,223.5,220.65,221.65,21790608
2016-05-06,221.1,222.0,219.75,220.25,14833368
2016-05-09,221.6,224.1,221.1,223.45,15435588
2016-05-10,223.45,223.8,222.25,223.3,7290096
2016-05-11,220.85,222.9,220.45,221.65,12411076
2016-05-12,221.8,225.95,221.6,225.65,12859942
2016-05-13,224.75,225.15,221.6,222.3,14732754
2016-05-16,222.05,223.3,220.7,221.8,9381116
2016-05-17,222.8,223.45,219.6,220.3,12227702
2016-05-18,219.5,221.0,219.15,220.55,8276286
2016-05-19,220.85,220.85,214.9,216.2,9187456
2016-05-20,216.4,216.95,211.65,212.35,18651548
2016-05-23,213.0,213.8,210.4,211.4,18471632
2016-05-24,210.95,214.55,210.95,213.75,12354042
2016-05-25,215.85,216.55,213.9,216.2,9293394
2016-05-26,215.9,216.45,214.6,215.2,14271844
2016-05-27,215.7,222.0,215.65,221.55,13478868
2016-05-30,221.9,223.05,219.3,220.15,9689200
2016-05-31,220.25,221.1,217.35,217.7,23467264
2016-06-01,217.75,219.6,216.3,216.75,9094950
2016-06-02,216.95,217.5,214.8,217.35,10312948
