Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
HINDCOPPER,160.28286020936125,1.0,1,100,-11.29032258064516,566.3,55.64516129032258,44.354838709677416
NATIONALUM,93.77673177220287,2.0,1,100,-17.741935483870968,354.6,58.87096774193549,41.12903225806452
BHARATFORG,75.1892595195532,3.0,1,100,-18.5483870967742,1911.2,58.87096774193549,40.32258064516129
MCX,67.78926800492937,4.0,1,100,-12.903225806451623,2443.3,56.451612903225815,43.54838709677419
ASHOKLEY,67.68340570158655,5.0,1,100,-17.741935483870968,211.1,58.87096774193549,41.12903225806452
VEDL,65.35598762167687,6.0,2,99,-24.19354838709677,718.4,62.096774193548384,37.903225806451616
UNIONBANK,64.88998572183479,7.0,2,99,-20.967741935483872,202.27,60.483870967741936,39.516129032258064
SHRIRAMFIN,63.607657922876214,8.0,2,99,-17.741935483870968,1079.4,58.87096774193549,41.12903225806452
BANKINDIA,63.574143902322724,9.0,2,99,-24.19354838709677,176.05,62.096774193548384,37.903225806451616
NETWEB,62.43753935801153,10.0,2,99,-6.451612903225801,3861.4,53.2258064516129,46.774193548387096
MRPL,61.04837443986328,11.0,3,98,3.225806451612897,196.65,48.38709677419355,51.61290322580645
SBIN,57.65437465768575,12.0,3,98,-20.967741935483872,1201.7,60.483870967741936,39.516129032258064
INDIANB,56.972496861329034,13.0,3,98,-17.741935483870968,990.5,58.87096774193549,41.12903225806452
FEDERALBNK,56.12299356921313,14.0,3,98,-17.741935483870968,299.85,58.87096774193549,41.12903225806452
CANBK,55.22193114945828,15.0,3,98,-15.322580645161295,157.37,57.25806451612904,41.935483870967744
M&MFIN,53.0351552411294,16.0,4,97,-16.935483870967744,374.3,58.06451612903226,41.12903225806452
KARURVYSYA,52.0725154728743,17.0,4,97,-6.451612903225801,326.2,53.2258064516129,46.774193548387096
KIRLOSENG,51.85923629660974,18.0,4,97,-2.4193548387096726,1393.2,50.806451612903224,48.38709677419355
MAHABANK,51.53533879194894,19.0,4,97,-13.709677419354847,74.76,56.451612903225815,42.74193548387097
CHENNPETRO,48.69918145758887,20.0,4,97,3.225806451612897,961.95,47.58064516129033,50.806451612903224
APARINDS,47.44290671859193,21.0,5,96,-4.032258064516121,11180.5,51.61290322580645,47.58064516129033
HINDZINC,47.4081749335368,22.0,5,96,-8.870967741935488,603.8,54.03225806451613,45.16129032258064
GRAPHITE,46.52268415312524,23.0,5,96,-6.451612903225801,718.1,53.2258064516129,46.774193548387096
JKTYRE,44.64970156610397,24.0,5,96,-8.064516129032256,501.1,54.03225806451613,45.96774193548387
CUB,43.59425542186264,25.0,5,96,-4.838709677419345,283.05,52.41935483870967,47.58064516129033
GESHIP,42.45512861333432,26.0,6,95,-11.29032258064516,1338.9,55.64516129032258,44.354838709677416
TMCV,42.030229773594186,27.0,6,95,-25.333333333333336,505.3,62.66666666666667,37.333333333333336
TATASTEEL,40.859710903454705,28.0,6,95,-6.451612903225801,212.33,53.2258064516129,46.774193548387096
DATAPATTNS,36.773969659292405,29.0,6,95,-8.064516129032256,3210.2,54.03225806451613,45.96774193548387
POWERINDIA,36.36065808916911,30.0,6,95,-12.096774193548384,25562.0,55.64516129032258,43.54838709677419
AUBANK,36.143429752956436,31.0,7,94,-1.6129032258064484,958.35,50.806451612903224,49.193548387096776
SAIL,36.07654995674068,32.0,7,94,-20.967741935483872,165.71,60.483870967741936,39.516129032258064
IDBI,35.88688761260508,33.0,7,94,1.6129032258064484,116.01,49.193548387096776,50.806451612903224
